PKM_Name;Gnum;Pnum;Chain_Name;ChainStructure;Chain_Structure_Act;Chain_ShortName
P4PRRRR4G1P2A1;1;2;S5PRRRR4;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR4G1P3A1;1;3;S5PRRRR4;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR4G1P8A1;1;8;S5PRRRR4;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR4G2P1A1;2;1;S5PRRRR4;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR4G3P1A1;3;1;S5PRRRR4;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR4V1G1P2A1;1;2;S5PRRRR4V1;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR4V1G1P3A1;1;3;S5PRRRR4V1;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR4V1G1P8A1;1;8;S5PRRRR4V1;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR4V1G2P1A1;2;1;S5PRRRR4V1;{\`P}{\`R}{\`R}{\'R}{\'R};\underline{\`P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR6G1P1A1;1;1;S5PRRRR6;{\`P}{\'R}{\'R}{\'R}{\'R};\underline{\`P}{\'R}{\'R}{\'R}{\'R};PRRRR
P4PRRRR6G2P1A1;2;1;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6G2P2A1;2;2;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6G2P3A1;2;3;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6G3P1A1;3;1;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6G3P8A1;3;8;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6G4P1A1;4;1;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6G9P2A1;9;2;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6G9P3A1;9;3;S5PRRRR6;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRRRR
P4PRRRR6V1G1P1A1;1;1;S5PRRRR6V1;{\`P}{\'R}{\'R}{\'R}{\'R};\underline{\`P}{\'R}{\'R}{\'R}{\'R};PRUR
P4PRRRR6V1G2P1A1;2;1;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR6V1G2P2A1;2;2;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR6V1G2P3A1;2;3;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR6V1G2P8A1;2;8;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR6V1G3P2A1;3;2;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR6V1G4P1A1;4;1;S5PRRRR6V1;{P}{\`R}{\`R}{\'R}{\'R};\underline{P}{\`R}{\`R}{\'R}{\'R};PRUR
P4PRRRR8G1P1A1;1;1;S5PRRRR8;{\`P}{\`R}{\'R}{\'R}{\'R};\underline{\`P}{\`R}{\'R}{\'R}{\'R};PRRRR
P4PRRRR8V1G1P1A1;1;1;S5PRRRR8V1;{\`P}{\`R}{\'R}{\'R}{\'R};\underline{\`P}{\`R}{\'R}{\'R}{\'R};PUU
P4PRRRR8V1G2P1A1;2;1;S5PRRRR8V1;{P}{\`R}{\'R}{\'R}{\'R};\underline{P}{\`R}{\'R}{\'R}{\'R};PUU
P4PRRRR8V1G3P1A1;3;1;S5PRRRR8V1;{P}{\`R}{\'R}{\'R}{\'R};\underline{P}{\`R}{\'R}{\'R}{\'R};PUU
